id,genres
0,crime drama
1,comedy drama romance
2,mystery drama
3,action fantasy horror drama
4,action sci thriller horror drama
5,drama romance
6,mystery comedy romance
7,comedy fantasy romance
8,comedy drama romance
9,crime drama
10,war drama
11,mystery action family thriller fantasy horror adventure drama
12,crime horror drama
13,mystery action crime thriller
14,mystery war thriller drama
15,mystery action family sci thriller adventure history
16,comedy action western crime horror drama
17,crime drama
18,mystery action crime thriller adventure
19,action thriller horror adventure
20,biography fantasy horror drama romance
21,comedy thriller romance
22,sci thriller
23,drama
24,mystery western crime thriller adventure drama
25,drama
26,comedy action family adventure romance
27,drama thriller
28,comedy action crime thriller fantasy adventure
29,comedy crime sci thriller adventure
30,action crime war thriller
31,drama romance
32,crime thriller drama
33,mystery action sci thriller horror adventure
34,comedy sci thriller fantasy horror adventure
35,mystery drama romance
36,action crime thriller horror adventure drama
37,mystery thriller
38,crime thriller horror drama
39,drama
40,mystery biography drama romance
41,mystery action sci thriller drama
42,drama romance
43,action crime sci biography thriller drama
44,action crime adventure drama
45,comedy crime drama romance
46,drama
47,comedy thriller horror drama romance
48,action crime thriller adventure
49,mystery crime biography thriller drama
50,thriller horror
51,mystery comedy biography fantasy drama romance
52,comedy thriller horror drama romance
53,action biography thriller adventure drama romance
54,comedy fantasy horror music drama romance
55,mystery action crime thriller drama romance
56,mystery thriller horror
57,drama
58,action crime war biography fantasy drama romance
59,comedy sci drama romance
60,mystery comedy thriller drama
61,action crime biography thriller drama
62,mystery action sci thriller adventure
63,sci drama
64,crime thriller drama romance
65,mystery comedy action war animation drama
66,comedy action crime thriller
67,mystery drama
68,crime thriller drama
69,action crime thriller drama
70,mystery action sci thriller fantasy adventure
71,action adventure drama
72,drama
73,comedy action thriller fantasy drama
74,action biography adventure music drama
75,thriller drama
76,comedy
77,comedy drama romance
78,mystery thriller horror drama
79,action crime thriller adventure romance
80,comedy action crime thriller horror adventure drama
81,action crime sci thriller
82,comedy thriller horror romance
83,mystery comedy crime thriller horror
84,comedy romance
85,comedy drama romance
86,thriller horror
87,comedy action crime sci thriller horror
88,thriller
89,comedy action crime thriller fantasy
90,crime sci thriller drama
91,action war thriller adventure
92,mystery action sci thriller adventure
93,comedy drama
94,biography thriller drama
95,comedy drama romance
96,drama
97,mystery thriller horror drama romance
98,mystery comedy action crime thriller fantasy adventure
99,comedy drama romance
100,comedy crime thriller drama romance
101,mystery thriller drama romance
102,comedy crime thriller drama
103,mystery action crime sci thriller
104,mystery comedy crime fantasy drama romance
105,comedy drama
106,mystery thriller drama
107,action thriller adventure drama
108,comedy drama romance
109,action thriller drama
110,comedy sci drama romance
111,mystery action crime thriller horror romance
112,comedy action biography thriller drama
113,mystery crime thriller horror
114,action drama
115,comedy action drama romance
116,mystery crime biography thriller drama
117,drama
118,crime thriller drama
119,comedy fantasy drama romance
120,sci thriller drama
121,comedy action sci thriller fantasy horror drama
122,comedy fantasy horror music romance
123,comedy drama romance
124,mystery drama
125,mystery comedy action thriller
126,sci thriller horror drama romance
127,comedy adventure
128,drama history
129,comedy action thriller
130,mystery comedy action thriller adventure drama
131,action crime thriller adventure drama
132,thriller drama romance
133,comedy sci horror drama
134,action sci drama
135,drama romance
136,comedy action sci thriller fantasy adventure drama
137,comedy drama romance
138,crime thriller fantasy drama romance
139,thriller drama
140,action drama romance
141,crime thriller horror drama
142,mystery action drama
143,mystery action crime horror adventure drama
144,mystery action crime thriller horror adventure drama
145,mystery action thriller romance
146,comedy drama
147,comedy action crime biography adventure drama romance
148,sport drama
149,thriller
150,mystery thriller horror music drama
151,mystery sci drama romance
152,drama romance
153,crime thriller drama
154,mystery action crime thriller
155,mystery thriller
156,comedy sci drama romance
157,action thriller horror adventure
158,crime thriller
159,action sci fantasy adventure
160,mystery thriller horror drama romance
161,comedy sci thriller romance
162,comedy drama romance
163,comedy action thriller adventure
164,mystery comedy thriller drama
165,mystery biography thriller drama romance
166,action western biography adventure drama
167,crime drama romance
168,comedy thriller drama
169,crime thriller horror drama
170,action crime sci biography thriller adventure
171,action thriller adventure romance
172,mystery crime thriller drama
173,war biography drama
174,comedy drama romance
175,drama
176,comedy thriller music romance
177,mystery family thriller
178,crime adventure drama romance
179,crime thriller
180,mystery crime drama
181,crime biography drama
182,sci thriller fantasy adventure drama romance
183,comedy thriller drama romance
184,comedy action sci thriller adventure
185,comedy fantasy drama
186,comedy action sci biography thriller adventure drama
187,mystery comedy action drama romance
188,comedy action sci thriller
189,crime thriller fantasy drama
190,action biography horror adventure drama
191,comedy biography drama
192,crime drama romance
193,comedy action sci horror
194,comedy thriller drama romance
195,action thriller drama
196,drama romance
197,comedy family fantasy romance
198,crime drama
199,crime drama
200,action crime thriller drama
201,mystery action sci drama
202,crime thriller drama romance
203,drama
204,comedy thriller adventure drama
205,drama romance
206,drama romance
207,action thriller adventure drama
208,comedy drama
209,comedy crime thriller
210,action thriller adventure drama
211,sci thriller romance
212,mystery fantasy drama romance
213,action sci thriller fantasy horror adventure
214,crime thriller drama romance
215,comedy fantasy drama romance
216,comedy drama romance
217,drama
218,crime thriller romance
219,mystery crime thriller
220,sci biography thriller drama
221,comedy action thriller drama
222,mystery action crime sci thriller adventure romance
223,crime drama romance
224,action drama romance
225,drama
226,mystery action war thriller animation drama
227,crime thriller adventure
228,biography drama
229,mystery drama romance
230,comedy war drama romance
231,western fantasy drama romance
232,drama
233,action crime sci thriller adventure drama
234,mystery action thriller music
235,comedy crime drama
236,mystery action thriller adventure
237,action thriller fantasy adventure
238,action crime drama
239,thriller drama romance
240,comedy fantasy horror drama romance
241,mystery action crime thriller
242,mystery comedy crime thriller drama
243,crime thriller drama
244,comedy drama romance
245,mystery comedy thriller drama romance
246,mystery crime thriller drama
247,comedy family fantasy
248,mystery comedy action crime sci thriller horror romance
249,drama
250,war adventure drama romance
251,mystery action war biography thriller drama
252,comedy biography drama romance
253,mystery comedy action crime sci thriller adventure
254,comedy crime thriller adventure romance
255,comedy drama romance
256,mystery fantasy adventure drama
257,comedy drama romance
258,crime thriller
259,mystery sci thriller horror
260,mystery crime thriller
261,mystery comedy drama
262,mystery crime thriller
263,mystery thriller fantasy horror drama romance
264,mystery comedy musical fantasy horror
265,comedy adventure romance
266,crime drama
267,action crime drama
268,comedy action thriller drama
269,comedy action sci thriller adventure
270,comedy action adventure history
271,sci fantasy drama
272,mystery thriller drama romance
273,comedy drama
274,mystery action sci thriller
275,comedy drama romance
276,mystery thriller drama romance
277,mystery comedy crime thriller horror
278,comedy action thriller drama romance
279,crime thriller horror drama romance
280,comedy fantasy drama romance
281,action western thriller romance
282,crime drama romance
283,crime biography drama
284,mystery thriller drama
285,comedy crime drama romance
286,comedy horror drama
287,thriller drama romance
288,comedy action thriller adventure drama romance
289,horror adventure
290,comedy crime thriller
291,mystery crime war thriller drama
292,mystery crime sci thriller
293,crime thriller romance
294,crime biography drama
295,crime drama
296,thriller horror drama
297,mystery crime thriller horror
298,mystery comedy crime drama
299,comedy action crime adventure
300,mystery action crime sci thriller adventure
301,thriller drama
302,mystery thriller adventure
303,crime thriller horror
304,horror drama
305,comedy thriller fantasy horror drama
306,comedy sci drama romance
307,comedy action crime war thriller horror adventure
308,crime thriller
309,comedy adventure romance
310,mystery crime thriller horror
311,crime drama
312,mystery comedy action crime thriller adventure
313,crime horror drama romance
314,horror drama romance
315,comedy thriller
316,action sci thriller fantasy adventure
317,comedy crime thriller drama romance
318,biography drama
319,action crime sci thriller adventure drama romance
320,crime thriller drama
321,comedy sci drama
322,mystery comedy action thriller
323,crime thriller
324,crime thriller drama
325,comedy fantasy music drama romance
326,biography drama
327,mystery comedy thriller drama
328,comedy crime thriller romance
329,crime drama
330,comedy fantasy drama romance
331,action crime war biography drama
332,mystery thriller fantasy horror drama romance
333,comedy action crime thriller romance
334,mystery thriller drama
335,mystery comedy drama romance
336,thriller fantasy horror drama romance
337,crime thriller horror drama
338,war drama
339,war biography fantasy drama
340,crime thriller music drama romance
